"id";"structures_id";"templates_id";"text";"mkdate";"chdate"
1;-4;0;"<div><span>Bevor Sie mit der Strukturplanung beginnen können, müssen Sie die grundlegenden Informationen (Schulform, Klassenstufe, Fach und Thema) zu dem Unterricht, den Sie planen, eingeben. Diese Informationen helfen bei der Identifikation der eigenen Pläne für den Fall, dass Sie zum Beispiel Planungselemente erneut benutzen oder aus anderen Gründen in die Entwürfe schauen möchten.</span><br />
&nbsp;</div>

<div><span>Achten Sie darauf, die Unterrichtsplanung vollständig zu anonymisieren, um die Persönlichkeit der Schüler*innen zu schützen und sicherzustellen, dass sämtliche Bestimmungen des Datenschutzes eingehalten werden.</span></div>

<div><span>&nbsp;</span></div>

<div><span>In dieser Detailübersicht kann der Plan außerdem unwiderruflich gelöscht werden.</span></div>
";"2020-08-31 20:16:42";"2020-09-01 12:55:39"
2;-3;0;"<div><span>Diese Übersicht, die auf das Herzstück Ihres Plans zielt, unterstützt Sie bei der Strukturplanung einer Einzelstunde, indem sie sechs Planungsbereiche aufzeigt, die für die Planung eines jeden Unterrichts bedeutsam sind: die Unterrichtsziele, ‑inhalte, ‑methoden und ‑medien sowie die individuellen und situativen Voraussetzungen der Schüler*innen und des Unterrichts. Alle sechs Bereiche hängen voneinander ab, sie sind interdependent. Um einen stimmigen (kohärenten) Unterrichtsplan zu entwickeln, decken Sie die Voraussetzungen Ihres Unterrichts auf und beziehen alle Planungsentscheidungen zu den Zielen usw. nicht nur auf diese Voraussetzungen, sondern auch auf die jeweils anderen Planungsentscheidungen.</span></div>

<div><span>&nbsp;</span></div>

<div><span>Die Interdependenz zwischen den Planungsbereichen wird in dieser Übersicht durch die kleinen Symbole in den Planungsbereichen gekennzeichnet. Diese Symbole können Sie zwar nicht auf dieser Übersichtsseite selbst, dafür aber auf der jeweiligen Planungsseite anklicken. Dabei signalisiert ein Klick auf die einzelnen Symbole, dass Sie die Planungsbereiche, für die diese Symbole stehen, innerhalb eines bestimmten Bereichs mitgedacht haben. Innerhalb des jeweiligen Planungsbereichs wird das entsprechende Symbol daraufhin grün. In der Planungsübersicht bleibt es allerdings noch gelb, denn dort wird es erst grün, sobald Sie zwei Planungsbereiche wechselseitig berücksichtigt und die entsprechenden Symbole innerhalb beider Bereiche markiert haben. (Ampelsystem: ‚rot‘ sowohl innerhalb eines Planungsbereichs als auch in der Planungsübersicht = andere/n Planungsbereich/e noch nicht berücksichtigt, ‚grün‘ innerhalb eines Planungsbereichs = andere/n Planungsbereich/e mitgedacht, ‚gelb‘ in der Planungsübersicht = erst innerhalb eines Planungsbereichs andere/n Planungsbereich/e mitgedacht, ‚grün‘ in der Planungsübersicht = die jeweiligen Planungsbereiche zu diesem Symbol innerhalb beider Planungsbereiche mitgedacht)</span></div>

<div><span>&nbsp;</span></div>

<div><span>Angenommen also, Sie entscheiden sich für eine bestimmte Methode vor dem Hintergrund ihres Themas. Im Planungsbereich Methodik markieren Sie das Symbol „Thema“ durch einen einfachen Mausklick. Zurück in der Übersicht hat sich das Symbol gelb gefärbt. Wenn Sie im Planungsbereich „Thema“ die Methode ebenfalls mitgedacht haben und das Symbol für Methodik anklicken, zeigt das grüne Symbol in der Übersicht an, dass Sie die Interdependenz zwischen Methodik und Thema berücksichtigt haben. Damit ist das Ampelsystem eine einfache Möglichkeit der Selbstkontrolle, die Ihnen zu jedem Zeitpunkt der Unterrichtsplanung vor Augen führt, welche Zusammenhänge zwischen den Planungsbereichen Sie bereits berücksichtigt haben.</span></div>
";"2020-08-31 20:16:42";"2021-01-12 12:02:44"
3;-1;0;"<div><span>Die gründliche Planung von Unterricht gehört neben seiner Durchführung und Analyse zu den Kernaufgaben von Lehrkräften. Denn die Planung nimmt Unterricht gedanklich vorweg und soll Orientierung für seine Durchführung geben.</span></div>

<div><span>&nbsp;</span></div>

<div><span>Grundsätzlich besteht jede Unterrichtsplanung aus zwei Schritten: In einem ersten Schritt, der Strukturplanung, werden Planungsentscheidungen getroffen, die sich vor allem auf die konkreten Unterrichtsziele, -inhalte, -methoden und -medien unter wechselseitiger Berücksichtigung der jeweiligen individuellen und situativen Voraussetzungen der Schüler*innen und des Unterrichts beziehen. Diese Entscheidungen sind interdependent, sie hängen also wechselseitig voneinander ab. Für die Unterrichtsplanung lässt sich diese Interdependenz als Aufforderung verstehen, die Entscheidungen in den Planungsbereichen unter wechselseitiger Berücksichtigung aufeinander abzustimmen. Das Ergebnis dieser Abstimmung sollte ein kohärenter, das heißt widerspruchsfreier und in sich stimmiger Plan sein. Die Wahrscheinlichkeit einer solchen Stimmigkeit ist dabei besonders hoch, wenn die Begründung einzelner Entscheidungen in einem Planungsbereich – zum Beispiel zu den Zielen des Unterrichts – unter ausdrücklichem Rückgriff auf die anderen Planungsbereiche – zum Beispiel die gegebenen Lernvoraussetzungen – erfolgt, und zwar am besten in einem schriftlichen Unterrichtsentwurf. Die Verschriftlichung macht es nämlich einfacher, in der Vielzahl an begründeten Entscheidungen nicht den Überblick zu verlieren.</span></div>

<div><span>&nbsp;</span></div>

<div><span>Zur Umsetzung der Strukturplanung in eine konkrete Abfolge von Lehr-Lernhandlungen schließt sich in einem zweiten Schritt die Verlaufsplanung an. Stark verallgemeinert, werden bei diesem Schritt die Entscheidungen zur Strukturplanung in Lehr-Lernhandlungen überführt, für diese Handlungen die jeweiligen Folgen für die Lernprozesse bzw. deren Ergebnisse vorweggenommen und Maßnahmen der Überprüfung des Lern- und damit auch Ihres Lehrerfolgs festgelegt. In diesem Sinne geht mit der Aufgabe der Unterrichtsplanung immer auch die Entwicklung von sogenannten Handlungsskripts einher, durch die die Voraussetzungen für die Durchführung des Unterrichts abgesteckt werden. Die leitende Frage für die Erstellung solcher Skripts lautet, ob die Lehrhandlungen geeignete Stimuli für die beabsichtigten Lernprozesse darstellen und somit die Wahrscheinlichkeit des Lernerfolgs erhöhen. Beides, sowohl die Struktur- als auch die Verlaufsplanung, sollten konsequent von den Lernenden aus gedacht sein und die übergreifende Frage beantworten, wie Sie die Lernprozesse der Lernenden durch ihren Unterricht bestmöglich anregen und begleiten können.</span></div>

<div><span>&nbsp;</span></div>

<div><span>Das vorliegende Tool unterstützt Sie vor allem bei der beschriebenen Strukturplanung einer Einzelstunde, indem</span></div>

<ul>
	<li><span>es die Planungsbereiche aufzeigt, innerhalb derer Sie interdependente Planungsentscheidungen zu treffen haben,</span></li>
	<li><span>es Ihnen nähere Informationen zu den Planungsbereichen gibt und</span></li>
	<li><span>Ihnen die Möglichkeit bietet, wechselseitig aufeinander bezogene Planungsentscheidungen zu dokumentieren und die Stimmigkeit Ihrer Planung zu prüfen.</span></li>
</ul>

<div><span>&nbsp;</span></div>

<div><span>Auch wenn die Verlaufsplanung mit diesem Tool nicht in gleichem Maße thematisiert wird, bietet es Ihnen im Anschluss an Ihre Strukturplanung aber die Gelegenheit, eine Tabelle zur Verlaufsplanung anzulegen und Ihre Lehrhandlungen näher zu bestimmen.</span></div>
";"2020-08-31 20:16:42";"2020-09-01 13:25:45"
4;-2;0;"<div><span>Bevor Sie mit der Strukturplanung beginnen können, müssen Sie die grundlegenden Informationen (Schulform, Klassenstufe, Fach und Thema) zu dem Unterricht, den Sie planen, eingeben. Diese Informationen helfen bei der Identifikation der eigenen Pläne für den Fall, dass Sie zum Beispiel Planungselemente erneut benutzen oder aus anderen Gründen in die Entwürfe schauen möchten. (Sie können Ihre Eingaben nachträglich unter „Aktionen: Plan bearbeiten“ ändern.)</span></div>

<div><span>&nbsp;</span></div>

<div><span>Achten Sie darauf, die Unterrichtsplanung vollständig zu anonymisieren, um die Persönlichkeit der Schüler*innen zu schützen und sicherzustellen, dass sämtliche Bestimmungen des Datenschutzes eingehalten werden.</span></div>
";"2020-08-31 20:16:42";"2020-09-01 12:56:10"
5;2;0;"<div><span>Die individuellen Voraussetzungen der Schüler*innen bilden zusammen mit den situativen Voraussetzungen die Bedingungsfelder der Unterrichtsplanung. Um Ihre weiteren Planungsentscheidungen auf diese Voraussetzungen beziehen zu können, müssen Sie die individuellen Lernvoraussetzungen der Lernenden analysieren. Erst dann wird es nämlich möglich, ein lernvoraussetzungsbezogenes unterrichtliches Angebot, einen sogenannten adaptiven Unterricht, zu konzipieren, das die Lernenden bestmöglich individuell fördern kann. Zu den individuellen Voraussetzungen gehören der bereichsspezifische Lern- und Entwicklungsstand (kognitive Lernvoraussetzungen, Vorwissen), die Interessen, Einstellungen und Motivation (affektive Lernvoraussetzungen) sowie das Arbeits- und Lernverhalten. Damit Sie aus der Vielzahl möglicher Merkmale der Lernenden diejenigen lernbereichsspezifischen aufdecken, die für einen lernwirksamen Unterricht notwendig sind, ist es wichtig, die Analyse dieser Voraussetzungen eng an den Lernzielen, dem Thema, den Methoden und den Medien zu orientieren. Je nach Lage des zu planenden Unterrichts und je nach Zeit, die Ihnen für die Planung zur Verfügung steht, lassen sich allerdings nicht alle der tatsächlichen Voraussetzungen auch diagnostizieren. Oft müssen die Voraussetzungen zum Beispiel mithilfe der curricularen Vorgaben für den vorangegangenen Unterricht erschlossen werden, sodass Ihre Analyse eher Annahmen über die Voraussetzungen beinhaltet. Diese Annahmen müssen während des Unterrichts und in seinem Anschluss daraufhin befragt werden, wie zutreffend sie waren.</span></div>
";"2020-08-31 20:16:42";"2020-09-01 12:58:37"
6;-5;0;"<div><span>In der Verlaufsplanung wird die Strukturplanung in einen Lehr-Lernprozess überführt. Dazu werden konkrete Lehr-Lernhandlungen mitsamt den erwarteten Resultaten benannt, der zeitliche Rahmen für diese Handlungen abgesteckt und die Mittel bestimmt, die bei diesen Handlungen genutzt werden. Da der Schwerpunkt dieser Software auf der Strukturplanung liegt, ist der Verlaufsplanung nur noch tabellarisch abgebildet, sodass die Ihre Entscheidungen komprimiert eintragen können.</span></div>
";"2020-08-31 20:16:42";"2020-09-01 13:15:46"
7;1;0;"<div><span>In der Analyse der situativen Voraussetzungen, die häufig auch als sozial-kulturelle Voraussetzungen bezeichnet werden, betrachten Sie die Schulklasse als soziales Gefüge, das durch die Zusammensetzung der Schüler*innen mit ihren je individuellen Eigenschaften im Rahmen der Schule entsteht. Dieses Gefüge gilt es bei der Unterrichtsplanung zu berücksichtigen.</span></div>

<div><span>&nbsp;</span></div>

<div><span>Wichtige Aspekte der situativen Voraussetzungen sind die Klassenkomposition, die soziale Situation/das soziale Klima in der Klasse, die räumlichen und zeitlichen Bedingungen des jeweiligen Unterrichts, die Situation der Schule sowie die Vorgaben aus dem (schulinternen) Lehrplan. Alle diese Aspekte sollten so weit berücksichtigt werden, wie sie relevant für Ihren Unterricht sind.</span></div>
";"2020-08-31 20:16:42";"2020-09-01 13:15:16"
8;6;0;"<div><span>Als Medien werden alle Unterrichtsmittel bezeichnet, mithilfe derer sich Lehrkräfte und Schüler*innen über unterrichtliche Intentionen, Inhalte und Methoden verständigen. Zur Auswahl geeigneter Medien sollten deren Funktionen und die vermutlichen Wirkungen ihres Einsatzes analysiert werden. Denn Medien können nicht nur die Aufmerksamkeit, das Interesse oder die Konzentration der Schüler*innen erhöhen, sondern auch Inhalte verdeutlichen und begreiflich machen und damit beim Abspeichern von neu Gelerntem im Gedächtnis helfen.</span></div>

<div><span>&nbsp;</span></div>

<div><span>Medien bieten viele Anknüpfungspunkte an die anderen Planungsbereiche. So können Medien zum Beispiel Abbildungen, Muster oder Symbole für die zu behandelnden Inhalte sein, aber auch Gestaltungsmittel, also Materialien und Werkzeuge zur Produktion von Unterrichtsgegenständen. In methodischer Hinsicht sind die Medien sowohl Lehr- als auch Lernmittel: Sie unterstützen die Aktionen der Lehrkräfte und den Lernprozess der Schüler*innen. Vor dem Hintergrund der Lernvoraussetzungen sollten beispielsweise der Vertrautheitsgrad und die Akzeptanz der Medien berücksichtigt werden. Nicht nur wegen dieser Anknüpfungspunkte, sondern auch, weil Medien zum Teil selbst eine bestimmte und nicht änderbare didaktische Struktur aufweisen, muss ihr Einsatz gründlich mit den Bedingungen und den weiteren Planungsentscheidungen abgestimmt werden. Außerdem ist zu beachten, dass sich Medien immer aus einem technischen Träger und einer Information zusammensetzen. Eine Tafel, auf der ein Bild zu sehen ist, wird damit zu einem ikonischen Medium, wohingegen eine Tafel, auf der etwas Geschriebenes zu finden ist, zu einem symbolischen Medium wird.</span></div>
";"2020-08-31 20:16:42";"2020-09-01 13:07:46"
9;4;0;"<div><span>Auch wenn Sie in Kerncurricula, Prüfungsbestimmungen oder daran orientierten Schulbüchern, deren Bindung an die Kernlehrpläne sekundäre Lehrplanbindung genannt wird, Hinweise auf Inhalte Ihres Unterrichts finden, liegt deren begründete Wahl und lerngerechte Strukturierung letztlich bei Ihnen. Bei der Planung Ihres Unterrichts stehen Sie deshalb immer vor der Frage, mit welchen Inhalten sich die Lernenden auseinandersetzen sollen, um die geplanten Lernziele zu erreichen? Um eine Antwort auf diese Frage zu geben, ist es hilfreich, eine doppelte Perspektive auf die Inhalte Ihres Unterrichts einzunehmen: die der eher fachwissenschaftlichen orientierten Sachanalyse und die der eher didaktisch-methodisch orientieren (fach-)didaktischen Analyse.</span></div>
";"2020-08-31 20:16:42";"2020-09-01 12:59:08"
10;3;0;"<div><span>Der Auswahl, Formulierung und Anordnung der Ziele Ihres Unterrichts als absichtsvoller Form der Erziehung kommen zwei entscheidende Funktionen zu: Für die Lernenden legen Ziele fest, was sie lernen sollen (Lernziele). Als Lehrenden geben Ihnen Ziele eine Orientierung für das Treffen Ihrer weiteren Planungsentscheidungen und eröffnen Ihnen nach dem gehaltenen Unterricht die Möglichkeit, die Lernwirksamkeit Ihrer Entscheidungen zu analysieren (Lehrziele).</span></div>

<div><span>&nbsp;</span></div>

<div><span>Anders als bei Themen, Methoden oder Medien, gibt es verbindliche Vorgaben für die Wahl der Ziele Ihres Unterrichts. Diese Vorgaben finden Sie in den Kerncurricula für Ihre jeweilige Schulform, Ihr jeweiliges Fach und Ihre jeweilige Schulstufe. Kerncurricula beinhalten Kompetenzen als Lernzielvorgaben, den sogenannten Output Ihres Unterrichts. Diese Vorgaben sind allerdings relativ abstrakt formuliert, sodass die Aufgabe der Zielplanung nicht nur darin besteht, unter Bezugnahme auf die Kerncurricula aus den vorgegebenen Zielen die für Ihren Unterricht passenden Unterricht auszuwählen, sondern ergänzend zu diesen Zielen konkretere zu formulieren, die Sie den abstrakteren aus den Vorgaben unterordnen. Bei der konkreten Formulierung ist es wichtig, Ziele zu operationalisieren, wodurch Sie nicht beobachtbare Lernprozesse und Ergebnisse beobachtbar machen, und diese Ziele Lernbereichen zuzuordnen, also zu prüfen, ob die Lernenden zum Denken (kognitive Dimension), Handeln (pragmatische/psychomotorische Dimension) oder Fühlen (affektive Dimension) angeregt werden.</span></div>

<div><span>&nbsp;</span></div>

<div><span>Zur Konkretisierung bietet es sich an, eine Lernzielhierarchie zu erstellen, in der Sie übergeordneten, abstrakteren Zielen konkretere Ziele unterordnen. Dabei muss allerdings bedacht werden, dass sich jeweils untergeordnete Ziele nicht einfach als logisch korrekter Schluss aus den übergeordneten ableiten lassen. Vielmehr gilt es, gute Begründungen für die Über- und Unterordnungen zu finden. Für die Erstellung einer solchen Hierarchie bietet Ihnen zum Beispiel die Unterscheidung von Richt-, Grob- und Feinzielen eine Hilfe.</span></div>

<div><span>&nbsp;</span></div>

<div><span>Sogenannte Lernzieltaxonomien (damit sind Klassifikationssysteme gemeint) bieten eine präzise Möglichkeit, die beabsichtigen Lernziele zu unterscheiden und zu ordnen. Diese Möglichkeit eröffnet nicht nur die Chance, die lernbereichsspezifischen Voraussetzungen genauer zu erfassen, sondern auch die Gelegenheit, die weiteren Planungsentscheidungen im Detail mit den Zielen abzustimmen. Außerdem fördern Lernzieltaxonomien differenzierte Evaluationen der Lernwirksamkeit des Unterrichts.</span></div>

<div><span>Ein sehr bekanntes Klassifikationssystem nutzt dabei die Unterscheidung von Dimensionen, die in Lernzielstufen untergliedert werden. Diese Stufen bauen aufeinander auf, sie setzten also das Erreichen der jeweils vorangegangenen voraus (Kumulativität). Dadaurch steigt das Anspruchsniveau der Lernziele von Stufe zu Stufe.</span><br />
&nbsp;</div>

<div><strong><span>kognitive Dimension</span></strong></div>

<div><span>Diese Dimension umfasst intellektuelle Ziele, also im weitesten Sinne solche, die das Denken, Erkennen oder Problemlösen betreffen.</span></div>

<ul>
	<li><span>Wissen:</span> <span>Lernziele auf dieser Stufe heben auf das Erinnern (als Wiedererkennen und Reproduzieren) sowohl von eher isolierten Einzelheiten (zum Beispiel einem Datum, einer Person oder eines Ausdrucks) als auch von komplexeren Beziehungen bzw. Strukturen, innerhalb derer Einzelheiten ihren Platz haben, ab (zum Beispiel eine zeitliche Abfolge oder eine Theorie).</span></li>
	<li><span>Verstehen:</span> <span>Lernziele auf dieser Stufe betreffen die Möglichkeit, den Inhalt bestimmter Informationen zu erfassen und Informationen in andere zu übertragen (Übersetzen), die Bedeutung von Informationen durch Neuordnung der Informationszusammenhänge vor dem Hintergrund der eigenen Gedanken aufzudecken (Interpretieren) oder Voraussagen aus Informationen abzuleiten (Extrapolieren).</span></li>
	<li><span>Anwenden:</span> <span>Lernziele auf dieser Stufe beziehen sich auf die Möglichkeit, allgemeine und abstrakte Lösungen, die im Zusammenhang mit einem Problem erlernt wurden, auf andere (spezifische und konkrete) Situationen zu übertragen, um dort strukturgleiche Probleme zu lösen.</span></li>
	<li><span>Analysieren:</span> <span>Lernziele auf dieser Stufe sehen vor, Einzelheiten oder komplexe Beziehungen in ihre Teile zu zerlegen (Elemente), die spezifischen Beziehungen zwischen diesen Elementen aufzudecken (Beziehungen) und damit die Organisation bzw. die Struktur dieser Elemente zu bestimmen (organisierende Prinzipien).</span></li>
	<li><span>Synthetisieren:</span> <span>Lernziele auf dieser Stufe fordern das Zusammenfügen von Elementen bzw. Teilen zu einem Ganzen. Ein solches Ganzes, das durch diese (kreative) (Neu )Kombination entsteht, lässt sich als integrierte Struktur bzw. als Muster verstehen.</span></li>
	<li><span>Evaluation:</span> <span>Lernziele auf dieser Stufe verlangen die Bewertung von etwas (zum Beispiel von Ideen, Methoden oder Materialien). Für diese Bewertung müssen Kriterien (Maßstäbe) formuliert bzw. herangezogen werden (zum Beispiel Normen), anhand derer die Qualität des zu Bewertenden eingeschätzt wird.</span></li>
</ul>
&nbsp;

<div><br />
<strong><span>affektive Dimension</span></strong></div>

<div><span>Unter die affektive Dimension fallen Ziele, die im Zusammenhang mit Interesse, Einstellungen, Werten oder Überzeugungen stehen und auch eine Komponente des Gefühls, der Emotion oder Zu- bzw. Abneigung aufweisen.</span></div>

<ul>
	<li><span>Aufmerksamkeit:</span> <span>Lernziele auf dieser Stufe sollen dazu beitragen, Lernende für bestimmte Phänomene oder Reize zu sensibilisieren. Das kann zunächst bedeuteten, Bewusstheit dafür zu schaffen, dass es ein Phänomen oder einen Reiz gibt, der bei der nächsten Gelegenheit beachtet wird. Auf der Bewusstheit aufbauend könnte eine Aufnahmebereitschaft als neutrale Haltung gegenüber Phänomen und Reizen angebahnt werden, sodass beides nicht zu meiden versucht wird. Diese Aufnahmebereitschaft könnte zu einer gerichteten oder selektiven Aufmerksamkeit ausgebaut werden, durch die Phänomene oder Reize wertneutral gezielt wahrgenommen und von anderen abgegrenzt werden.</span></li>
	<li><span>Reagieren: </span><span>Lernziele auf dieser Stufe beziehen sich zunächst auf die aktive Lenkung der Aufmerksamkeit auf bestimmte Phänomene und Reize, um zu handeln (ohne allerdings eine Notwendigkeit des Handelns zu sehen). Dabei kann die Bereitschaft zum Handeln ein weiteres Ziel sein, die durch das weitere Ziel der Befriedigung beim Reagieren mit positiven Emotionen belegt wird.</span></li>
	<li><span>Werten: </span><span>Lernziele auf dieser Stufe sehen zunächst die Annahme eines Wertes, also eine noch änderbare emotional gefärbte Einstellung als Glaube an etwas vor, das noch nicht belegt wurde. Stärker ausgeprägt können diese Ziele durch die Bevorzugung eines Wertes sein, bei dem sich Lernende mit dem Wert identifizieren und sich für ihn engagieren. Kommt zu dieser Bevorzugung noch ein höherer Grad an Gewissheit oder Überzeugung hinzu, der hochgradig zum Handeln motiviert, beziehen sich die Lernziele auf eine Bindung an einen Wert.</span></li>
	<li><span>Wertordnung:</span> <span>Lernziele auf dieser Stufe dienen dazu, die Besonderheiten einzelner internalisierter Werte furch Abstraktion herauszustellen, die unterschiedliche Werte in Beziehung zueinander zu setzen und die Werte in einem System zu organisieren. Durch eine solche Organisation soll eine Orientierung für Situationen gegeben werden, in denen mehrere Werte von Bedeutung sind.</span></li>
	<li><span>Bestimmtsein durch Werte:</span> <span>Lernziele auf dieser Stufe bedingen, dass verinnerlichte Werte in einem verallgemeinerten Wertesystem fest und stimmig in der Wertehierarchie von Lernenden verortet sind, und die Werte das Handeln in komplexen Situationen gewohnheitsmäßig und generalisiert, aber in seinen Emotionen bewusst und in seinen Konsequenzen durchdacht, leiten. Seinen höchsten Ausdruck findet ein solch verallgemeinertes Wertesystem in einer Weltanschauung, eines Weltbildes oder einer Lebensphilosophie, die bzw. das Lernenden eine konsistente Orientierung für ihr Handeln in allen Situationen geben.</span></li>
</ul>
&nbsp;

<div><br />
<strong><span>psychomotorische Dimension</span></strong></div>

<div><span>Lernziele in dieser Dimension sind auf die willentliche, muskuläre und motorische Bewegung und die Veränderung von Gegenständen der äußeren Welt durch das eigene Tun, das eine neuromuskuläre Koordination erfordert, gerichtet.</span></div>

<ul>
	<li><span>Imitation:</span> <span>Lernziele auf dieser Stufe sehen eine Nachahmung von beobachtetem Handeln vor, die als Imitationsimpuls zunächst an die Beobachtung einer Ausführung in einer Situation gebunden und rein reproduktiv ist. Darauf aufbauend zählen zu diesen Zielen auch solche, die die Wiederholung der Ausführung anstreben, auch wenn diese Ausführung aufgrund der fehlenden neuromuskulären Koordination noch grob bleibt.</span></li>
	<li><span>Manipulation:</span> <span>Lernziele auf dieser Stufe beschreiben eine Ausführung nicht mehr allein als Folge einer Beobachtung, sondern einer genauen Instruktion. Dabei sollen die Komponenten der Handlung zunehmend gezielt gewählt und die Handlung gefestigt werden, auch wenn sie noch bewusst kontrolliert ausgeführt wird.</span></li>
	<li><span>Präzisierung:</span> <span>Lernziele auf dieser Stufe zielen auf die möglichst exakte Reproduktion einer Ausführung, Loslösung dieser Ausführung vom Beobachtungsmodell sowie die bewusste und beabsichtigte Änderung der Ausführung.</span></li>
	<li><span>Handlungsgliederung:</span> <span>Lernziele auf dieser Stufe verlangen, dass Lernende mehrere Handlungen aufeinander beziehen, sie stimmig sequenzieren, und entsprechende Handlungen gleichzeitig oder in einer bestimmten Abfolge kontrolliert ausführen.</span></li>
	<li><span>Naturalisierung:</span> <span>Lernziele auf dieser Stufe gehen mit dem Anspruch einher, die Ausführung von Handlungen zu automatisieren und dabei so zu verinnerlichen, dass sie unbewusst und gewohnheitsmäßig ablaufen.</span></li>
</ul>
";"2020-08-31 20:16:42";"2020-09-01 13:22:17"
